ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013112202,4515,182,297,344,419
4013112301,5768,436,611,434,528
4013112302,7777,644,574,636,740
4013112401,6004,299,557,623,727
4013112402,6661,505,666,553,720
4013112502,6582,590,685,637,703
4013112503,9960,519,701,977,935
4013112504,4468,506,413,470,387
4013112505,9863,1618,969,799,866
4013112507,3069,337,339,430,324
4013112508,2211,210,212,234,95
4013112509,11473,1703,1349,775,924
4013112510,4995,537,526,482,321
4013112511,10117,796,890,1024,891
4013112512,770,98,79,85,98
4013112513,9486,603,1026,834,836
4013112514,5225,371,415,566,447
4013112601,3804,488,392,433,344
4013112602,8617,897,1054,1045,745
4013112700,7403,759,525,747,800
4013112900,4835,204,360,345,140
4013113000,2318,12,0,29,38
4013113100,4277,70,0,27,1268
4013113201,2674,219,188,218,367
4013113202,2095,189,189,111,158
4013113203,2642,221,117,107,136
4013113300,4987,524,542,603,321
4013113400,343,16,3,1,6
4013113501,4824,405,308,422,375
4013113502,3366,411,439,384,356
4013113601,5272,391,346,425,421
4013113602,4090,378,427,204,256
4013113700,8039,565,421,513,647
4013113801,2252,160,106,25,124
4013113802,0,0,0,0,0
4013113900,1457,263,143,147,157
4013114000,1996,7,102,0,24
4013114100,1533,10,0,17,25
4013114200,994,0,23,53,82
4013114301,565,24,4,0,6
4013114302,3173,421,356,348,233
4013114401,1458,63,88,96,164
4013114402,2085,145,159,220,169
4013114500,4044,310,279,364,373
4013114600,1611,236,84,56,76
4013114703,5255,68,77,142,217
4013114800,3493,280,313,346,295
4013114900,2562,153,217,231,91
4013115200,3110,311,231,389,338
4013115300,3181,220,331,289,255
4013115400,2056,151,232,133,123
4013115500,4230,341,373,363,343
4013115600,3864,382,251,183,487
4013115700,7395,684,836,569,613
4013115801,4522,545,397,171,445
4013115802,3420,381,181,189,124
4013115900,6660,626,586,455,533
4013116000,6713,495,586,595,542
4013116100,4310,325,377,382,525
4013116202,5598,473,349,493,566
4013116203,5813,367,487,501,538
4013116204,3843,99,134,463,406
4013116205,4506,348,370,251,218
4013116300,7197,712,375,571,341
4013116400,6000,369,468,406,527
4013116500,5108,479,566,324,273
4013116602,8129,558,972,839,819
4013116603,7586,705,716,718,755
4013116604,4966,467,408,407,411
4013116605,7270,578,920,617,635
4013116606,6947,683,616,916,514
4013116607,3954,291,237,518,284
4013116608,4912,543,540,464,319
4013116609,5386,509,427,537,480
4013116610,6047,760,542,444,483
4013116611,3687,188,319,257,183
4013116612,6274,499,351,607,451
4013116613,7933,910,626,489,507
4013116702,9026,806,661,847,786
4013116703,5611,486,425,478,369
4013116704,9060,487,378,670,679
4013116707,2947,183,121,271,99
4013116708,5198,100,281,312,74
4013116709,2682,175,166,114,93
4013116710,5081,264,344,359,326
4013116711,2320,107,204,206,131
4013116712,7911,532,404,637,588
4013116713,6420,477,435,375,598
4013116714,3560,162,271,201,327
4013116715,1978,101,128,98,111
4013116717,3298,155,145,193,200
4013116718,3057,244,173,130,144
4013116719,7137,456,424,491,511
4013116720,4528,386,446,350,171
4013116721,3388,148,304,223,141
4013116725,5301,231,430,315,342
4013116727,3988,117,210,278,346
4013116728,4657,178,278,359,358
4013116729,4103,164,193,438,239
4013116730,1821,44,97,203,153
4013116731,3189,130,176,209,254
4013116732,3956,412,348,292,193
4013116733,260,5,5,16,10
4013116800,2794,224,195,126,215
4013116900,2661,289,336,296,329
4013117000,7040,581,656,865,402
4013117100,2712,97,87,92,45
4013117200,1309,63,150,138,128
4013117300,1263,141,111,114,90
4013216806,3468,93,135,72,152
4013216807,5145,97,196,360,299
4013216809,5258,132,156,415,482
4013216810,1673,45,16,21,25
4013216813,4141,71,196,177,85
4013216816,6656,189,338,476,294
4013216818,7437,116,187,246,400
4013216819,6481,192,314,171,183
4013216820,4462,74,42,174,197
4013216821,6349,170,126,212,191
4013216822,4290,0,58,233,211
4013216826,4566,254,121,184,171
4013216829,5669,182,219,67,88
4013216830,3299,65,64,84,220
4013216831,3098,94,108,231,215
4013216832,2283,26,28,75,85
4013216833,4917,427,339,170,68
4013216834,2255,56,32,146,16
4013216835,2874,85,21,86,80
4013216836,4336,262,308,307,267
4013216837,5358,210,193,252,308
4013216838,5310,491,203,359,324
4013216839,4162,273,214,255,198
4013216840,4967,172,297,336,231
4013216841,3996,233,259,260,185
4013216842,3847,139,188,546,409
4013216843,3438,16,61,40,38
4013216844,4612,71,104,146,68
4013216845,2165,127,85,95,79
4013216846,7373,232,414,575,494
4013216847,7943,404,623,637,520
4013216848,6781,109,149,405,733
4013216849,6670,176,302,389,501
4013216850,4576,15,321,221,66
4013216851,4293,56,68,277,249
4013216852,3189,79,199,84,54
4013216853,5288,253,196,169,258
4013216901,3323,132,67,63,47
4013216902,4252,237,238,267,129
4013217001,4628,138,51,36,79
4013217002,6017,390,197,276,229
4013217101,2879,111,163,126,58
4013217102,2926,165,89,138,152
4013217201,2237,65,92,29,6
4013217203,3678,37,43,74,91
4013217204,3624,140,83,308,111
4013217300,4425,158,152,310,80
4013217400,3232,82,161,36,136
4013217501,3831,222,251,183,196
4013217502,3173,87,34,89,35
4013217600,4891,132,126,179,212
4013217700,5211,483,259,297,187
4013217800,6345,253,194,258,117
4013217900,4194,152,63,66,188
4013218000,5983,426,298,189,79
4013218100,2274,215,84,38,136
4013218200,9097,313,248,283,566
4013218300,4629,204,230,84,133
4013318400,5590,226,100,374,386
4013318501,3389,107,148,120,94
4013318700,3843,0,25,0,1808
4013318800,7334,231,236,58,554
4013318900,7018,158,177,198,611
4013319000,9085,29,4,79,4937
4013319101,3291,19,82,23,396
4013319103,5318,39,90,179,369
4013319104,7228,267,160,44,509
4013319201,6849,866,240,268,604
4013319202,3539,113,21,53,88
4013319300,3005,91,98,236,220
4013319401,7236,407,260,405,395
4013319402,4094,160,214,258,133
4013319403,4926,337,110,214,404
4013319404,3626,169,92,101,191
